unidades,Frequency.1
1.00,41742468.0
2.00,3773143.0
0.00,3630759.0
10.00,807044.0
0.50,649815.0
4.00,575335.0
3.00,470834.0
15.00,273915.0
1.50,233157.0
5.00,216611.0
6.00,86163.0
8.00,51100.0
2.50,34886.0
0.30,33291.0
20.00,33238.0
0.20,26942.0
1.20,22573.0
0.40,20858.0
7.00,20238.0
0.10,18627.0
0.24,18611.0
0.18,16359.0
12.00,16253.0
0.25,16090.0
100.00,15750.0
30.00,15372.0
0.12,14474.0
1.80,13719.0
0.16,13340.0
0.26,13068.0
0.60,12580.0
0.36,12507.0
0.22,12477.0
0.14,11938.0
0.28,11875.0
40.00,11656.0
0.32,10634.0
0.34,9883.0
9.00,9287.0
0.38,8119.0
14.00,7880.0
0.42,7770.0
0.75,7225.0
0.44,6976.0
0.15,6887.0
21.00,6766.0
0.08,6670.0
28.00,6566.0
0.48,6309.0
2.40,6185.0
0.06,6139.0
3.50,6070.0
0.46,5458.0
200.00,5143.0
25.00,4928.0
0.70,4921.0
11.00,4791.0
0.80,4720.0
16.00,4713.0
18.00,4471.0
0.54,4317.0
0.45,4223.0
0.52,4083.0
1.10,3915.0
0.56,3742.0
50.00,3685.0
0.35,3554.0
24.00,3474.0
0.04,3436.0
1.25,2876.0
13.00,2852.0
0.58,2686.0
0.90,2643.0
0.13,2610.0
0.66,2610.0
17.00,2572.0
0.64,2526.0
4.50,2479.0
7.50,2378.0
0.62,2301.0
0.72,2028.0
60.00,2016.0
0.68,2004.0
0.05,1625.0
0.21,1612.0
0.55,1560.0
0.76,1446.0
1.01,1427.0
0.74,1345.0
0.09,1334.0
0.17,1330.0
22.00,1327.0
1.30,1281.0
0.78,1274.0
0.33,1243.0
0.27,1232.0
19.00,1143.0
0.84,1140.0
0.65,1110.0
300.00,1033.0
0.23,997.0
0.19,971.0
35.00,967.0
0.82,856.0
23.00,820.0
0.88,799.0
45.00,779.0
0.02,752.0
0.11,736.0
2.20,725.0
0.37,721.0
1.60,720.0
0.86,710.0
0.07,709.0
0.03,706.0
120.00,694.0
0.96,631.0
0.39,615.0
0.92,602.0
1.40,599.0
0.31,573.0
0.29,559.0
5.50,558.0
90.00,525.0
80.00,522.0
26.00,522.0
250.00,520.0
400.00,509.0
115.00,502.0
1.75,501.0
2.60,497.0
1.04,494.0
0.51,476.0
0.47,472.0
0.43,470.0
0.94,469.0
0.41,447.0
75.00,430.0
1.08,417.0
0.85,416.0
350.00,415.0
2.10,410.0
1.02,409.0
8.50,402.0
1.05,393.0
180.00,388.0
70.00,386.0
0.98,372.0
6.50,362.0
27.00,361.0
32.00,359.0
1.70,333.0
0.49,319.0
0.53,318.0
36.00,310.0
42.00,305.0
2.25,304.0
0.01,295.0
0.57,290.0
1.06,281.0
12.50,274.0
1.14,259.0
0.95,246.0
1.12,239.0
0.63,226.0
0.67,195.0
1.16,193.0
1.18,179.0
1.33,179.0
31.00,172.0
33.00,170.0
1.32,168.0
1.26,165.0
1.15,162.0
0.73,161.0
500.00,157.0
0.61,157.0
0.69,153.0
2.30,148.0
34.00,148.0
9.50,147.0
2.80,146.0
29.00,145.0
1.24,144.0
0.77,142.0
3.20,141.0
0.59,141.0
63.00,141.0
2.75,131.0
150.00,124.0
1.22,122.0
1.35,119.0
1.28,119.0
1.44,107.0
0.81,104.0
56.00,99.0
3.25,97.0
1.90,97.0
7.51,94.0
1.36,90.0
140.00,88.0
0.83,87.0
1.38,86.0
38.00,86.0
1.48,83.0
0.71,79.0
10.50,78.0
1.42,77.0
3.75,77.0
48.00,76.0
1.34,75.0
125.00,75.0
55.00,73.0
2.70,73.0
3.10,69.0
37.00,69.0
65.00,69.0
0.87,69.0
2.01,68.0
1.46,67.0
1.56,67.0
3.60,64.0
14.50,64.0
11.50,61.0
0.99,61.0
1.55,59.0
1.52,59.0
1.54,58.0
0.89,57.0
600.00,56.0
1.66,56.0
2.02,55.0
0.79,54.0
1.68,53.0
84.00,50.0
1.62,49.0
44.00,47.0
4.25,45.0
110.00,43.0
2.90,43.0
3.30,40.0
3.40,40.0
13.50,40.0
0.91,40.0
0.97,40.0
660.00,39.0
1.58,38.0
15.50,36.0
2.08,36.0
1.45,35.0
0.93,35.0
1.03,34.0
770.00,34.0
16.50,33.0
270.00,32.0
1.17,32.0
1.78,32.0
1.65,31.0
1.64,30.0
365.00,30.0
2.24,30.0
4.20,30.0
4.40,29.0
1.09,28.0
6.60,28.0
1.07,27.0
1.84,27.0
2.05,27.0
2.66,27.0
2.99,27.0
72.00,26.0
39.00,25.0
5.75,25.0
2.04,25.0
1.11,24.0
17.50,24.0
51.00,24.0
4.10,24.0
105.00,24.0
240.00,23.0
880.00,23.0
1.92,23.0
66.00,21.0
3.02,21.0
1.96,21.0
360.00,20.0
46.00,20.0
160.00,20.0
4.75,20.0
1.23,19.0
1.51,19.0
3.04,19.0
1.82,19.0
2.26,19.0
2.42,19.0
4.60,19.0
3.80,18.0
2.12,18.0
2.28,18.0
41.00,18.0
1.13,17.0
1.29,17.0
1.27,17.0
3.70,17.0
43.00,17.0
2.15,17.0
2.46,17.0
825.00,17.0
4.30,17.0
22.50,17.0
1.98,16.0
130.00,16.0
1.76,15.0
1.86,15.0
3.55,15.0
18.50,15.0
2.56,15.0
6.25,15.0
990.00,15.0
54.00,14.0
1.37,14.0
3.01,14.0
1.74,14.0
3.08,14.0
52.00,14.0
5.10,14.0
5.20,14.0
1.21,13.0
1.88,13.0
47.00,13.0
85.00,13.0
2.68,13.0
4.70,13.0
1.39,12.0
1.67,12.0
1.72,12.0
1.94,12.0
21.50,12.0
5.25,12.0
5.30,12.0
715.00,12.0
2.06,12.0
2.22,12.0
82.00,11.0
112.00,11.0
2.52,11.0
24.50,11.0
64.00,10.0
49.00,10.0
58.00,10.0
550.00,10.0
108.00,9.0
1.19,9.0
1.47,9.0
1.77,9.0
3.24,9.0
1.85,9.0
1.95,9.0
5.01,9.0
3.64,9.0
7.25,9.0
175.00,9.0
4.04,9.0
4.56,9.0
6.20,9.0
6.75,9.0
8.30,9.0
8.75,8.0
225.00,8.0
62.00,8.0
3.15,8.0
3.06,8.0
3.46,8.0
3.68,8.0
3.78,8.0
858.00,8.0
2.35,8.0
2.55,8.0
2.65,8.0
2.72,8.0
2.78,8.0
4.68,8.0
6.67,8.0
121.00,7.0
638.00,7.0
1.43,7.0
1.41,7.0
1.99,7.0
3.32,7.0
3.90,7.0
165.00,7.0
77.00,7.0
61.00,7.0
2.14,7.0
2.16,7.0
2.38,7.0
2.58,7.0
2.48,7.0
4.02,7.0
2.62,7.0
2.85,7.0
81.00,7.0
4.29,7.0
19.50,7.0
8.25,7.0
88.00,6.0
101.00,6.0
1.63,6.0
1.89,6.0
3.22,6.0
3.42,6.0
3.38,6.0
69.00,6.0
3.56,6.0
3.62,6.0
5.60,6.0
7.40,6.0
53.00,6.0
627.00,6.0
2.45,6.0
682.00,6.0
124.00,6.0
4.26,6.0
2.88,6.0
4.80,6.0
66.50,6.0
68.00,6.0
170.00,5.0
96.00,5.0
1.57,5.0
450.00,5.0
3.26,5.0
3.34,5.0
3.45,5.0
5.05,5.0
5.55,5.0
5.70,5.0
7.20,5.0
5.90,5.0
9.20,5.0
26.50,5.0
902.00,5.0
16.67,5.0
4.05,5.0
2.67,5.0
2.74,5.0
2.82,5.0
20.50,5.0
91.00,5.0
